0.046579,0.0014897,1.5947e-05,0.046579,0.0015302,0.0015093,0.001539
0.049022,0.0012146,1.3039e-05,0.049022,0.0012429,0.0012242,0.0012508
0.051587,0.00099169,1.0715e-05,0.051587,0.00099661,0.00097987,0.0010036
0.054281,0.00078443,8.6922e-06,0.054281,0.00080045,0.00078552,0.00080668
0.057109,0.00065125,7.2435e-06,0.057109,0.000644,0.00063069,0.00064959
0.060079,0.00052611,6.0503e-06,0.060079,0.00051883,0.00050696,0.00052381
0.063198,0.00043185,5.064e-06,0.063198,0.0004185,0.00040793,0.00042293
0.066472,0.00035159,4.245e-06,0.066472,0.00033801,0.00032858,0.00034196
0.06991,0.0002834,3.6916e-06,0.06991,0.00027328,0.00026489,0.00027682
0.07352,0.00022819,3.1796e-06,0.07352,0.00022117,0.0002137,0.00022433
0.07731,0.00017672,2.6932e-06,0.07731,0.00017919,0.00017254,0.000182
0.08129,0.00013987,2.2857e-06,0.08129,0.00014531,0.0001394,0.00014781
0.085469,0.00011516,1.9577e-06,0.085469,0.00011796,0.00011271,0.00012019
0.089856,9.1359e-05,1.6667e-06,0.089856,9.5879e-05,9.1224e-05,9.7865e-05
0.094464,7.7041e-05,1.4601e-06,0.094464,7.8021e-05,7.3901e-05,7.9792e-05
0.099303,6.1202e-05,1.2471e-06,0.099303,6.3582e-05,5.9934e-05,6.5142e-05
0.10438,4.9535e-05,1.0808e-06,0.10438,5.191e-05,4.8668e-05,5.3301e-05
0.10971,4.1342e-05,9.6351e-07,0.10971,4.2482e-05,3.9604e-05,4.3709e-05
0.11531,3.3935e-05,8.6362e-07,0.11531,3.485e-05,3.23e-05,3.5944e-05
0.12119,2.8686e-05,7.6929e-07,0.12119,2.8683e-05,2.6428e-05,2.9652e-05
0.12737,2.3223e-05,6.8297e-07,0.12737,2.3692e-05,2.1702e-05,2.4547e-05
0.13385,1.8879e-05,6.3701e-07,0.13385,1.9671e-05,1.7919e-05,2.0428e-05
0.14065,1.5596e-05,6.0022e-07,0.14065,1.6428e-05,1.489e-05,1.7107e-05
0.1478,1.4114e-05,6.1766e-07,0.1478,1.3809e-05,1.2462e-05,1.4403e-05
0.15531,1.1808e-05,6.1259e-07,0.15531,1.1699e-05,1.0523e-05,1.2227e-05
0.16319,1.0759e-05,6.4623e-07,0.16319,1.0005e-05,8.9824e-06,1.0486e-05
0.17146,9.5856e-06,6.621e-07,0.17146,8.6452e-06,7.7343e-06,9.0842e-06
0.18015,9.5507e-06,7.0084e-07,0.18015,7.5545e-06,6.701e-06,7.9578e-06
0.18927,7.8884e-06,6.9662e-07,0.18927,6.6834e-06,5.881e-06,7.0627e-06
0.19885,7.6002e-06,6.9944e-07,0.19885,5.988e-06,5.2311e-06,6.3369e-06
0.2089,6.0505e-06,6.6699e-07,0.2089,5.4359e-06,4.7193e-06,5.7691e-06
0.21946,6.0611e-06,6.8146e-07,0.21946,4.9977e-06,4.3168e-06,5.3219e-06
0.23055,4.7432e-06,6.1174e-07,0.23055,4.6516e-06,3.9994e-06,4.9704e-06
0.24219,4.2634e-06,6.0582e-07,0.24219,4.3797e-06,3.6974e-06,4.7006e-06
0.25442,5.3679e-06,6.8175e-07,0.25442,4.1667e-06,3.4578e-06,4.4876e-06
0.26725,6.1963e-06,7.5129e-07,0.26725,4.0012e-06,3.269e-06,4.3207e-06
0.28073,4.2144e-06,6.004e-07,0.28073,3.8731e-06,3.1204e-06,4.1926e-06
0.29488,5.1944e-06,6.6971e-07,0.29488,3.7747e-06,3.0042e-06,4.0974e-06
0.30974,4.8398e-06,6.4682e-07,0.30974,3.6997e-06,2.9139e-06,4.028e-06
0.32534,4.6343e-06,6.192e-07,0.32534,3.6431e-06,2.8442e-06,3.9755e-06
0.34172,3.7409e-06,5.5478e-07,0.34172,3.6007e-06,2.7906e-06,3.9358e-06
0.35892,4.7502e-06,6.0511e-07,0.35892,3.5694e-06,2.7499e-06,3.9067e-06
0.37698,3.7412e-06,5.272e-07,0.37698,3.5465e-06,2.7192e-06,3.8852e-06
0.39595,3.5793e-06,5.1213e-07,0.39595,3.53e-06,2.6963e-06,3.87e-06
0.41586,2.6443e-06,4.3591e-07,0.41586,3.5183e-06,2.6794e-06,3.8611e-06
0.43677,2.7945e-06,4.3821e-07,0.43677,3.5102e-06,2.667e-06,3.8546e-06
0.45872,4.0346e-06,5.2954e-07,0.45872,3.5047e-06,2.6582e-06,3.8497e-06
0.48177,2.8292e-06,4.5246e-07,0.48177,3.5009e-06,2.6519e-06,3.8464e-06
0.50597,1.8703e-06,3.6915e-07,0.50597,3.4985e-06,2.6476e-06,3.8445e-06
0.53139,2.9821e-06,4.7525e-07,0.53139,3.497e-06,2.6447e-06,3.8432e-06
0.55807,2.6742e-06,4.6176e-07,0.55807,3.496e-06,2.6427e-06,3.8424e-06
0.58609,2.7516e-06,5.6698e-07,0.58609,3.4955e-06,2.6414e-06,3.8419e-06
0.6094,7.2745e-06,2.8048e-06,0.6094,3.4952e-06,2.6408e-06,3.8418e-06
