0.01218,1.0292,0.01865
0.01234,1.0226,0.01792
0.0125,1.0298,0.01732
0.01267,1.0263,0.01653
0.01284,1.0342,0.01624
0.01302,1.0341,0.01543
0.0132,1.0413,0.01492
0.01357,1.0488,0.01367
0.01377,1.0394,0.01318
0.01418,0.98029,0.01155
0.0144,0.9484,0.01071
0.01485,0.5751,0.00706
0.01508,0.39632,0.00533
0.01533,0.29979,0.00435
0.01558,0.23063,0.00361
0.01611,0.15245,0.00264
0.01639,0.12983,0.00231
0.01667,0.10496,0.00198
0.0176,0.06833,0.00137
0.01793,0.0574,0.0012
0.01828,0.05069,0.00105
0.01901,0.03847,0.00080634
0.0198,0.02822,0.00061658
0.02066,0.02371,0.00049695
0.02161,0.01773,0.00038152
0.02264,0.01404,0.00029392
0.02377,0.01103,0.00022516
0.02486,0.0096,0.00026282
0.02519,0.00866,0.00024091
0.02587,0.00755,0.00020987
0.0266,0.00682,0.00018652
0.02698,0.00589,0.00017117
0.02818,0.00502,0.0001431
0.0286,0.00481,0.00013749
0.02949,0.00419,0.00011724
0.03043,0.00364,0.00010488
0.03093,0.00322,9.5514e-005
0.03252,0.00265,7.8962e-005
0.03309,0.00239,7.2946e-005
0.03428,0.00201,6.2621e-005
0.03556,0.00163,5.307e-005
0.03624,0.00145,4.8477e-005
0.03768,0.00108,4.0396e-005
0.03844,0.00098152,3.7899e-005
0.04007,0.00068257,3.1585e-005
0.04093,0.00057289,2.9162e-005
0.04277,0.0004022,2.496e-005
0.04406,0.00045014,0.00019897
0.04493,0.00029749,0.00020019
0.0467,0.00037939,0.00014331
0.04763,0.00043946,0.0001213
0.04861,0.00043275,0.00010419
0.04963,0.00052129,9.6128e-005
0.0518,0.00072847,7.2186e-005
0.05296,0.00080954,6.3782e-005
0.05417,0.0009333,6.2555e-005
0.05544,0.00116,5.8806e-005
0.05677,0.00136,5.6022e-005
0.05816,0.00156,5.0304e-005
0.05963,0.00169,4.9759e-005
0.06117,0.00185,4.6555e-005
0.06279,0.00201,4.3125e-005
0.0645,0.00217,4.0952e-005
0.06821,0.00237,3.5332e-005
0.07024,0.00246,3.2865e-005
0.07238,0.00243,3.0082e-005
0.07467,0.00237,2.71e-005
0.07709,0.00228,2.448e-005
0.07969,0.00213,2.196e-005
0.08246,0.00191,1.9098e-005
0.08544,0.00168,1.6459e-005
0.08864,0.00139,1.4e-005
0.09208,0.00113,1.2404e-005
0.0958,0.00082474,9.5923e-006
0.09984,0.0005762,7.6408e-006
0.10424,0.00034909,5.9761e-006
0.10777,0.00021413,7.0655e-006
0.11058,0.00015238,4.136e-006
0.11391,9.5976e-005,3.3515e-006
0.11744,4.4199e-005,2.7509e-006
0.1212,2.2752e-005,2.3125e-006
0.12521,1.0359e-005,2.0209e-006
0.12948,4.9045e-006,1.8722e-006
0.13407,3.0664e-006,1.7224e-006
0.13899,8.7072e-007,1.6258e-006
0.14428,3.9192e-006,1.5271e-006
0.14999,2.9256e-006,1.4656e-006
0.15618,4.7229e-006,1.4336e-006
0.1629,1.0779e-005,1.4393e-006
0.17022,1.8485e-005,1.4769e-006
0.17823,1.9014e-005,1.5085e-006
0.18703,1.2753e-005,1.5287e-006
0.19675,6.4953e-006,1.4899e-006
0.20753,4.3604e-006,1.4891e-006
0.21956,2.2954e-006,1.5066e-006
0.24836,2.3779e-006,1.489e-006
0.26579,4.2698e-006,1.5052e-006
0.29122,3.1819e-006,1.3881e-006
