0.051793,0.00022464,3.4007e-06
0.054383,0.00018531,2.7523e-06
0.057102,0.00015463,2.2639e-06
0.059957,0.00012459,1.8443e-06
0.062955,0.00010332,1.5526e-06
0.066103,8.3207e-05,1.2736e-06
0.069408,6.6859e-05,1.085e-06
0.072878,5.554e-05,9.3212e-07
0.076522,4.6869e-05,8.041e-07
0.080348,3.6672e-05,6.8717e-07
0.084365,3.0955e-05,5.9837e-07
0.088584,2.4781e-05,5.0395e-07
0.093013,2.0163e-05,4.3266e-07
0.097664,1.7194e-05,3.8276e-07
0.10255,1.3801e-05,3.2953e-07
0.10767,1.0868e-05,2.8268e-07
0.11306,8.9118e-06,2.5019e-07
0.11871,8.2266e-06,2.3789e-07
0.12465,6.7891e-06,2.0822e-07
0.13088,5.5048e-06,1.861e-07
0.13742,4.3011e-06,1.7064e-07
0.14429,3.7549e-06,1.6291e-07
0.15151,3.0281e-06,1.5298e-07
0.15908,2.7102e-06,1.5371e-07
0.16704,1.9817e-06,5.256e-07
0.17539,1.8156e-06,6.293e-07
0.18416,1.6126e-06,1.018e-07
0.19337,1.501e-06,2.64e-07
0.20304,1.3504e-06,3.631e-07
0.21319,1.0658e-06,6.1751e-07
0.22385,1.0028e-06,2.4871e-07
0.23504,9.1701e-07,2.3499e-07
0.24679,7.5092e-07,2.4518e-07
0.25913,1.0126e-06,1.6429e-07
0.27209,7.5725e-07,4.1481e-07
0.28569,6.2167e-07,3.5735e-07
0.29998,7.0777e-07,2.0772e-07
0.31497,8.5576e-07,1.6916e-07
0.33072,8.4284e-07,2.2151e-07
0.34726,4.4441e-07,3.2246e-07
0.36462,6.6378e-07,2.3675e-07
0.38285,7.1382e-07,3.7039e-07
0.402,5.6163e-07,4.4157e-07
0.4221,5.9761e-07,3.4927e-07
0.4432,4.9182e-07,3.5155e-07
0.46536,5.6609e-07,2.3558e-07
0.48863,5.3547e-07,1.7267e-07
0.51306,4.7647e-07,5.4127e-07
0.53871,3.8841e-07,2.9179e-07
0.56565,4.7749e-07,8.624e-08
0.58877,4.6278e-07,2.3214e-07
