SampleLogFunc,sub rough,Oxide thick,Sam tails thick,Sam tails hydration,Sam rough,cw thick,SAM head thick,SAM head hydration,Bilayer head thick,Bilayer rough,Bilayer tails thick,Bilayer tails hydr,Bilayer heads hydr,Oxide Hydration,Backs parameter 1,Backs parameter 2
-6.1709166,.81101652,.25142341,.43877877,.26123725,.19654673,.44005976,.15274886,.34950750,.31784227,.18846036,.50645259,.24852906,.71598210,.49887755,.21646218,.57370735
-11.368523,.17152260,.17990075,.39217549,.26724968,.20814624,.27086001,.81861248,.82808378,.22287704,.31142529E-01,.39059205,.31836747,.18385268,.35492366,.17046438,.70183504
-12.071898,.63954894,.28560453,.51697980,.10353804,.49706938,.62963044,.93281229E-01,.41959547,.25777217,.54908299,.45526616,.12017854,.39617703,.24228588,.54406916,.80038476
-9.8510698,.94907009,.27638372,.38259287,.49278852E-01,.40465673,.34183434,.52299840,.78320528,.55348777,.20873333,.91127901E-01,.11461185,.33555829,.51422995,.38865020,.76874565
-7.5215317,.46141938,.20829061,.48564306,.25530509,.32444291,.48956824,.40778692,.31187575,.27923885,.24731756,.36951646,.22774872,.15312504,.37677360,.35079207,.68111135
-4.5802726,.55767825,.24611153,.28621167,.99253646E-02,.46661613,.48219309,.47472421,.29969128,.78043686E-01,.18185941,.68879447,.26889213,.60751214,.45888054,.30650110,.60833910
-8.2141118,.68794632,.34793021,.27533516,.90921019E-01,.72848981E-01,.65999944,.21090472,.20872623,.22183111,.73090380,.51069741,.21617465E-01,.48847707,.25632591,.29287978,.37920162
-8.8435075,.39805115,.29442054,.52020522,.28016280,.33084563,.51123683,.59900730E-02,.21085410,.53297653,.46692518,.38426442,.15020873,.52679543,.28054966,.39031299,.40543234
-5.7309289,.35888467,.22246678,.33648841,.14219970E-01,.43607786,.40156912,.31230165,.56328328,.55341675,.27127458,.31868475,.11392692,.72137071,.53837650,.29037119,.53678416
-8.0688014,.70710387,.25158919,.50639846,.25152989,.28477654,.32899064,.27247385,.83287884,.48016026,.33212777,.31219769,.72151720E-01,.66098766,.51035073,.47608639,.77993863
-6.3502550,.60059737,.31102512,.37813198,.20145323,.29813194E-02,.58164977,.17934576,.15584133,.22131523,.53205627,.48495066,.11696353,.30407778,.23040562,.28749357,.65643690
-11.688266,.76847354,.26407875,.43837653,.30561628,.27054502,.66046462,.16912741,.21132328E-01,.37516312,.42684420,.69633590E-01,.52174172E-01,.13025108,.35983879,.53080525E-01,.66616881
-6.5491562,.64717421,.24941161,.47704116,.23276161,.12787678,.45710743,.22587589,.15991948,.25472151,.27289009,.58402939,.29310013,.47791195,.44037597,.31866288,.78865106
-6.8533499,.39547953,.29645595,.31280914,.99147442E-01,.29372370,.31494249,.32435207,.78590547,.82110629,.45085330,.33708421,.11656808,.85164437,.37988959,.27037701,.63597727
-8.6723661,.23420075,.28055397,.37530256,.17519060,.30811657,.33538248,.61993924,.78626484,.97518921E-01,.12944860,.64392838,.34061618,.56446163,.43779084,.26001395,.43020341
-11.242351,.82560479E-01,.20454093,.30501372,.15865671,.18428711,.40684930,.65053588,.73049486,.15757984,.35314081,.49915245,.11712222,.46435992,.23615712,.35560683,.11012686
-11.562990,.34941675,.27083859,.44696445,.12019859,.21210727,.63825059,.12650724,.39170577,.49876574,.67581106,.14465037,.39994495E-01,.54952027E-01,.33679990,.54066007,.72276873
-10.637829,.76379690,.28433268,.37659373,.23810712,.15985769,.65981973,.61019362E-01,.52652593,.39069741,.60684143,.20863957,.95204467E-02,.52929097,.25103266,.19582703,.79556131
-7.2585665,.35146841,.28310657,.35968018,.11135099,.38146090,.64922437,.75150679E-01,.29983995,.21924146,.39532278,.49419704,.20688622,.23517448,.42738346,.22820481,.59303273
-7.0812840,.20853239,.25869589,.23139002,.14108544,.16973966,.40258121,.64098569,.36529928,.21073771,.52221295,.58486913,.11485432,.88587467,.30646375,.36490152,.32416841
-13.331203,.46031377,.31099924,.38496986,.19043554,.24841250,.47529973,.32870646,.62847203,.10101713,.42620361,.94770167,.28597140,.99972976,.20151067,.95317623E-01,.31122833
-6.1084731,.60446382,.28372553,.42420838,.18172376,.23156465,.65709452,.16220805E-01,.37452017,.49404416,.47098391,.19676537,.74727009E-01,.30669970,.37125573,.47057602,.72022288
-8.0370433,.18294371,.20027278,.71910969,.45718489,.24389284,.44025999,.47569552E-01,.82934778E-01,.21051413E-01,.20660855,.79093834,.26753412,.98897957,.27425876,.22537538,.80883541
-11.388636,.73165919,.27477401,.61143760,.29515841,.22148502,.43860604,.38632236E-02,.63626662,.56534022,.54393686E-01,.15802700,.27339998,.76166955E-01,.21476032,.23459703,.63257401
-6.5362500,.68255756,.21439642,.32176271,.18371610E-01,.34753041,.26972658,.30452205,.52960611,.67650530,.16095440,.37721670,.17869142,.89292781,.50896351,.48011068,.51758952
-8.9975657,.73012299,.21561348,.15627723,.91248345E-01,.15531357,.23817129,.67033807,.18218717,.78060183,.13162208,.24276446,.16332915,.77728041,.42959663,.39086416,.51193833
-10.559652,.43043888E-01,.21763381,.47615685,.26908775,.57792302,.53948445,.21121542,.59331926,.34092761,.97492257E-01,.41211715,.28222262,.67808477,.41539902,.37023008,.76378564
-8.6765952,.70416709,.23469237,.37375708,.20860392E-01,.32375512,.35702463,.15156678,.87975274E-01,.74464396,.15296972,.46939642,.19562146,.90972743,.39924261,.34974795,.32973042
-5.3987396,.12031121,.25798292,.48144550,.18987981,.42724090,.57190481,.20327188,.59893473,.28030605,.43719395,.39777907,.11130518,.48261060,.38632865,.31858173,.72047553
-7.8437543,.75815755,.23243734,.34886438,.11435540,.65671454E-01,.55701327,.32309737,.62264027,.35008035,.52683515,.14307011,.54684096E-01,.14579041,.35018033,.17280976,.50700006
-6.5186119,.54367060,.23609947,.47154646,.29393198,.83557960E-01,.47946126,.37440021,.97031829E-01,.14605331,.37088610,.53622212,.16886019,.30029186,.41564426,.48426047,.65436715
-6.2710936,.42820642,.23584916,.40254931,.18705962,.35727233,.58164416,.17391401,.72270793,.18499318,.40925161,.48350430,.19304311,.45275169,.35295921,.19663906,.36466746
-6.2221535,.19773187,.18300271,.50067925,.27653566,.36744002,.43723633,.22737709,.98882702E-01,.35292060,.33013405,.53480973,.15852712,.82435312,.35826324,.28026978,.76008391
-9.3016438,.34514449,.21617461,.31974470,.10923875,.16869131,.41724922,.72459349,.44981109,.36263985,.49513609,.28383368,.90491043E-01,.10625539,.43835469,.24167333,.45697036
-6.2683350,.74517566,.25629323,.39429234,.58975711E-01,.26435983,.53702447,.32380404,.90451009,.19010013,.56599919,.33043474,.37957402E-01,.30265869E-01,.26331768,.23008788,.69207446
-10.410901,.44345842E-03,.14389518,.54680431,.38340939,.26424540,.30003959,.29417540,.58997698,.53153806,.26450945,.23160287,.15152391,.53469915,.32909933,.44040931,.68505244
-6.6800712,.48453990,.26730436,.36443710,.14246592,.30366636,.57942449,.31923076,.80482916,.15079480,.45157187,.49551375,.16946542,.30056561,.22568596,.30443615,.26303264
-6.0491990,.86322531,.25925315,.35107417,.60584313E-01,.20557443,.17797132,.68196293,.85791711,.28708682,.19874232,.63499003,.26271106,.86633349,.49639965,.35180201,.53286060
-8.9712126,.66239630E-01,.21975190,.31882046,.88618224E-01,.51999970,.40274688,.54578142,.63500068,.56088324,.36027241,.28249536,.50758800E-01,.70673090,.53070293,.37333687,.85908143
-8.7258717,.18702352,.18423736,.29829504,.89377636E-01,.32192575,.21876777,.65489458,.51837154,.36255031,.30273882,.57667346,.19770978,.96612892,.29896760,.24668030,.56993951
-13.147719,.89916297E-01,.29204648,.32623242,.21775657,.10681996,.34243712,.90154235,.81454688,.33681896,.41399312,.19076955,.15959162,.57633192E-01,.36294049,.60589927,.28162614E-01
-8.2889196,.65961512E-01,.23304331,.55740479,.30251162,.37058429,.52477816,.20414341E-01,.54559157,.33517589,.25609840,.47770287,.22439746,.67441708,.22029551,.10115250,.72509435
